,Date,variable,value
285,2021-01-07,Age-0to17,1
286,2021-01-08,Age-0to17,1
287,2021-01-09,Age-0to17,1
288,2021-01-10,Age-0to17,1
289,2021-01-11,Age-0to17,1
290,2021-01-12,Age-0to17,1
291,2021-01-13,Age-0to17,1
292,2021-01-14,Age-0to17,1
293,2021-01-15,Age-0to17,1
294,2021-01-16,Age-0to17,1
295,2021-01-17,Age-0to17,1
296,2021-01-18,Age-0to17,2
297,2021-01-19,Age-0to17,2
298,2021-01-20,Age-0to17,2
299,2021-01-21,Age-0to17,2
300,2021-01-22,Age-0to17,2
301,2021-01-23,Age-0to17,2
302,2021-01-24,Age-0to17,2
303,2021-01-25,Age-0to17,2
304,2021-01-26,Age-0to17,2
305,2021-01-27,Age-0to17,2
306,2021-01-28,Age-0to17,2
307,2021-01-29,Age-0to17,2
308,2021-01-30,Age-0to17,2
309,2021-01-31,Age-0to17,2
310,2021-02-01,Age-0to17,2
311,2021-02-02,Age-0to17,2
312,2021-02-03,Age-0to17,2
313,2021-02-04,Age-0to17,2
314,2021-02-05,Age-0to17,2
315,2021-02-06,Age-0to17,2
316,2021-02-07,Age-0to17,2
317,2021-02-08,Age-0to17,2
318,2021-02-09,Age-0to17,2
319,2021-02-10,Age-0to17,2
320,2021-02-11,Age-0to17,2
321,2021-02-12,Age-0to17,2
322,2021-02-13,Age-0to17,2
323,2021-02-14,Age-0to17,2
324,2021-02-15,Age-0to17,2
325,2021-02-16,Age-0to17,2
326,2021-02-17,Age-0to17,2
327,2021-02-18,Age-0to17,2
328,2021-02-19,Age-0to17,2
329,2021-02-20,Age-0to17,2
330,2021-02-21,Age-0to17,2
331,2021-02-22,Age-0to17,2
332,2021-02-23,Age-0to17,2
333,2021-02-24,Age-0to17,2
334,2021-02-25,Age-0to17,2
335,2021-02-26,Age-0to17,2
336,2021-02-27,Age-0to17,2
337,2021-02-28,Age-0to17,2
338,2021-03-01,Age-0to17,2
339,2021-03-02,Age-0to17,2
340,2021-03-03,Age-0to17,2
341,2021-03-04,Age-0to17,2
342,2021-03-05,Age-0to17,2
343,2021-03-06,Age-0to17,2
344,2021-03-07,Age-0to17,2
345,2021-03-08,Age-0to17,2
346,2021-03-09,Age-0to17,2
347,2021-03-10,Age-0to17,2
348,2021-03-11,Age-0to17,2
349,2021-03-12,Age-0to17,2
350,2021-03-13,Age-0to17,2
351,2021-03-14,Age-0to17,2
352,2021-03-15,Age-0to17,2
353,2021-03-16,Age-0to17,3
354,2021-03-17,Age-0to17,3
355,2021-03-18,Age-0to17,3
356,2021-03-19,Age-0to17,3
357,2021-03-20,Age-0to17,3
358,2021-03-21,Age-0to17,3
359,2021-03-22,Age-0to17,3
360,2021-03-23,Age-0to17,4
361,2021-03-24,Age-0to17,4
362,2021-03-25,Age-0to17,4
363,2021-03-26,Age-0to17,4
364,2021-03-27,Age-0to17,4
