Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count
12/30/20,Age-0to17,93673,1838
12/31/20,Age-0to17,96293,2620
1/1/21,Age-0to17,98477,2184
1/2/21,Age-0to17,100848,2371
1/3/21,Age-0to17,102060,1212
1/4/21,Age-0to17,103650,1590
1/5/21,Age-0to17,105025,1375
1/6/21,Age-0to17,107578,2553
1/7/21,Age-0to17,110824,3246
1/8/21,Age-0to17,113012,2188
1/9/21,Age-0to17,114808,1796
1/10/21,Age-0to17,116556,1748
1/11/21,Age-0to17,118246,1690
1/12/21,Age-0to17,119974,1728
1/13/21,Age-0to17,123151,3177
1/14/21,Age-0to17,125167,2016
1/15/21,Age-0to17,127098,1931
1/16/21,Age-0to17,128942,1844
1/17/21,Age-0to17,130400,1458
1/18/21,Age-0to17,131500,1100
1/19/21,Age-0to17,132071,571
1/20/21,Age-0to17,133328,1257
1/21/21,Age-0to17,134344,1016
1/22/21,Age-0to17,135734,1390
1/23/21,Age-0to17,136827,1093
1/24/21,Age-0to17,137731,904
1/25/21,Age-0to17,138405,674
1/26/21,Age-0to17,139249,844
1/27/21,Age-0to17,140010,761
1/28/21,Age-0to17,140748,738
1/29/21,Age-0to17,141625,877
1/30/21,Age-0to17,142473,848
1/31/21,Age-0to17,143074,601
2/1/21,Age-0to17,143514,440
2/2/21,Age-0to17,144081,567
2/3/21,Age-0to17,145410,1329
2/4/21,Age-0to17,145913,503
2/5/21,Age-0to17,146539,626
2/6/21,Age-0to17,146935,396
2/7/21,Age-0to17,147285,350
2/8/21,Age-0to17,147619,334
2/9/21,Age-0to17,148019,400
2/10/21,Age-0to17,148623,604
2/11/21,Age-0to17,148997,374
2/12/21,Age-0to17,149401,404
2/13/21,Age-0to17,149677,276
2/14/21,Age-0to17,149949,272
2/15/21,Age-0to17,150089,140
2/16/21,Age-0to17,150270,181
2/17/21,Age-0to17,150572,302
2/18/21,Age-0to17,150843,271
2/19/21,Age-0to17,151054,211
2/20/21,Age-0to17,151230,176
2/21/21,Age-0to17,151344,114
2/22/21,Age-0to17,151631,287
2/23/21,Age-0to17,151838,207
2/24/21,Age-0to17,152041,203
2/25/21,Age-0to17,152238,197
2/26/21,Age-0to17,152434,196
2/27/21,Age-0to17,152633,199
2/28/21,Age-0to17,152764,131
3/1/21,Age-0to17,152894,130
3/2/21,Age-0to17,153054,160
3/3/21,Age-0to17,153285,231
3/4/21,Age-0to17,153546,261
3/5/21,Age-0to17,153717,171
3/6/21,Age-0to17,153851,134
3/7/21,Age-0to17,153949,98
3/8/21,Age-0to17,154071,122
3/9/21,Age-0to17,154224,153
3/10/21,Age-0to17,154224,0
3/11/21,Age-0to17,154467,243
3/12/21,Age-0to17,154547,80
3/13/21,Age-0to17,154654,107
3/14/21,Age-0to17,154710,56
3/15/21,Age-0to17,154740,30
3/16/21,Age-0to17,154843,103
3/17/21,Age-0to17,154952,109
3/18/21,Age-0to17,155030,78
3/19/21,Age-0to17,155092,62
3/20/21,Age-0to17,155163,71
3/21/21,Age-0to17,155237,74
3/22/21,Age-0to17,155275,38
3/23/21,Age-0to17,155339,64
3/24/21,Age-0to17,155391,52
3/25/21,Age-0to17,161572,6181
3/26/21,Age-0to17,161658,86
3/27/21,Age-0to17,161719,61
3/28/21,Age-0to17,161770,51
3/29/21,Age-0to17,161804,34
3/30/21,Age-0to17,161804,0
3/31/21,Age-0to17,161804,0
4/1/21,Age-0to17,162026,222
4/2/21,Age-0to17,162121,95
4/3/21,Age-0to17,162182,61
4/4/21,Age-0to17,162246,64
4/5/21,Age-0to17,162284,38
4/6/21,Age-0to17,162318,34
4/7/21,Age-0to17,162386,68
4/8/21,Age-0to17,162480,94
4/9/21,Age-0to17,162593,113
4/10/21,Age-0to17,162673,80
4/11/21,Age-0to17,162734,61
4/12/21,Age-0to17,162794,60
4/13/21,Age-0to17,162839,45
4/14/21,Age-0to17,162947,108
4/15/21,Age-0to17,163024,77
4/16/21,Age-0to17,163120,96
4/17/21,Age-0to17,163444,324
4/18/21,Age-0to17,163511,67
4/19/21,Age-0to17,163572,61
4/20/21,Age-0to17,163642,70
4/21/21,Age-0to17,163721,79
4/22/21,Age-0to17,163785,64
4/23/21,Age-0to17,163856,71
4/24/21,Age-0to17,163940,84
4/25/21,Age-0to17,163989,49
4/26/21,Age-0to17,164046,57
4/27/21,Age-0to17,164078,32
4/28/21,Age-0to17,164121,43
4/29/21,Age-0to17,164166,45
4/30/21,Age-0to17,164251,85
5/1/21,Age-0to17,164383,132
5/2/21,Age-0to17,164431,48
5/3/21,Age-0to17,164460,29
5/4/21,Age-0to17,164463,3
5/5/21,Age-0to17,164522,59
5/6/21,Age-0to17,164576,54
5/7/21,Age-0to17,164621,45
5/8/21,Age-0to17,164658,37
5/9/21,Age-0to17,164695,37
5/10/21,Age-0to17,164716,21
5/11/21,Age-0to17,164761,45
5/12/21,Age-0to17,164797,36
5/13/21,Age-0to17,164874,77
5/14/21,Age-0to17,164913,39
5/15/21,Age-0to17,164947,34
5/16/21,Age-0to17,164965,18
5/17/21,Age-0to17,164991,26
5/18/21,Age-0to17,165037,46
5/19/21,Age-0to17,165078,41
5/20/21,Age-0to17,165119,41
5/21/21,Age-0to17,165207,88
5/22/21,Age-0to17,165242,35
5/23/21,Age-0to17,165263,21
5/24/21,Age-0to17,165281,18
5/25/21,Age-0to17,165305,24
5/26/21,Age-0to17,165648,343
5/27/21,Age-0to17,165692,44
5/28/21,Age-0to17,165727,35
5/29/21,Age-0to17,165752,25
5/30/21,Age-0to17,165775,23
5/31/21,Age-0to17,165798,23
6/1/21,Age-0to17,165819,21
6/2/21,Age-0to17,165845,26
6/3/21,Age-0to17,165867,22
6/4/21,Age-0to17,165903,36
6/5/21,Age-0to17,165948,45
6/6/21,Age-0to17,165974,26
6/7/21,Age-0to17,166004,30
6/8/21,Age-0to17,166039,35
6/9/21,Age-0to17,166060,21
6/10/21,Age-0to17,166087,27
6/11/21,Age-0to17,166153,66
6/12/21,Age-0to17,166183,30
3/17/20,Age-18to64,127,127
3/18/20,Age-18to64,138,11
3/19/20,Age-18to64,154,16
3/20/20,Age-18to64,215,61
3/21/20,Age-18to64,319,104
3/22/20,Age-18to64,415,96
3/23/20,Age-18to64,518,103
3/24/20,Age-18to64,613,95
3/25/20,Age-18to64,924,311
3/26/20,Age-18to64,1112,188
3/27/20,Age-18to64,1350,238
3/28/20,Age-18to64,1609,259
3/29/20,Age-18to64,1861,252
3/30/20,Age-18to64,2273,412
3/31/20,Age-18to64,2732,459
4/1/20,Age-18to64,3120,388
4/2/20,Age-18to64,3502,382
4/3/20,Age-18to64,4087,585
4/4/20,Age-18to64,4582,495
4/5/20,Age-18to64,4864,282
4/6/20,Age-18to64,5280,416
4/7/20,Age-18to64,5721,441
4/8/20,Age-18to64,5996,275
4/9/20,Age-18to64,6320,324
4/10/20,Age-18to64,6612,292
4/11/20,Age-18to64,6804,192
4/12/20,Age-18to64,6942,138
4/13/20,Age-18to64,7388,446
4/14/20,Age-18to64,7671,283
4/15/20,Age-18to64,7919,248
4/16/20,Age-18to64,8255,336
4/17/20,Age-18to64,8782,527
4/18/20,Age-18to64,8959,177
4/19/20,Age-18to64,10156,1197
4/20/20,Age-18to64,11254,1098
4/21/20,Age-18to64,12321,1067
4/22/20,Age-18to64,13082,761
4/23/20,Age-18to64,13805,723
4/24/20,Age-18to64,14212,407
4/25/20,Age-18to64,14505,293
4/26/20,Age-18to64,15196,691
4/27/20,Age-18to64,15591,395
4/28/20,Age-18to64,16752,1161
4/29/20,Age-18to64,17226,474
4/30/20,Age-18to64,18036,810
5/1/20,Age-18to64,18486,450
5/2/20,Age-18to64,19052,566
5/3/20,Age-18to64,19364,312
5/4/20,Age-18to64,20608,1244
5/5/20,Age-18to64,21191,583
5/6/20,Age-18to64,21760,569
5/7/20,Age-18to64,22306,546
5/8/20,Age-18to64,23074,768
5/9/20,Age-18to64,23399,325
