Date,variable,value
2021-02-05,Age-0to17,146539
2021-02-06,Age-0to17,146935
2021-02-07,Age-0to17,147285
2021-02-08,Age-0to17,147619
2021-02-09,Age-0to17,148019
2021-02-10,Age-0to17,148623
2021-02-11,Age-0to17,148997
2021-02-12,Age-0to17,149401
2021-02-13,Age-0to17,149677
2021-02-14,Age-0to17,149949
2021-02-15,Age-0to17,150089
2021-02-16,Age-0to17,150270
2021-02-17,Age-0to17,150572
2021-02-18,Age-0to17,150843
2021-02-19,Age-0to17,151054
2021-02-20,Age-0to17,151230
2021-02-21,Age-0to17,151344
2021-02-22,Age-0to17,151631
2021-02-23,Age-0to17,151838
2021-02-24,Age-0to17,152041
2021-02-25,Age-0to17,152238
2021-02-26,Age-0to17,152434
2021-02-27,Age-0to17,152633
2021-02-28,Age-0to17,152764
2021-03-01,Age-0to17,152894
2021-03-02,Age-0to17,153054
2021-03-03,Age-0to17,153285
2021-03-04,Age-0to17,153546
2021-03-05,Age-0to17,153717
2021-03-06,Age-0to17,153851
2021-03-07,Age-0to17,153949
2021-03-08,Age-0to17,154071
2021-03-09,Age-0to17,154224
2021-03-10,Age-0to17,154224
2021-03-11,Age-0to17,154467
2021-03-12,Age-0to17,154547
2021-03-13,Age-0to17,154654
2021-03-14,Age-0to17,154710
2021-03-15,Age-0to17,154740
2021-03-16,Age-0to17,154843
2021-03-17,Age-0to17,154952
2021-03-18,Age-0to17,155030
2021-03-19,Age-0to17,155092
2021-03-20,Age-0to17,155163
2021-03-21,Age-0to17,155237
2021-03-22,Age-0to17,155275
2021-03-23,Age-0to17,155339
2021-03-24,Age-0to17,155391
2021-03-25,Age-0to17,161572
2021-03-26,Age-0to17,161658
2021-03-27,Age-0to17,161719
2021-03-28,Age-0to17,161770
2021-03-29,Age-0to17,161804
2021-03-30,Age-0to17,161866
2021-03-31,Age-0to17,161804
2021-04-01,Age-0to17,162026
2021-04-02,Age-0to17,162121
2021-04-03,Age-0to17,162182
2021-04-04,Age-0to17,162246
2021-04-05,Age-0to17,162284
2021-04-06,Age-0to17,162318
2021-04-07,Age-0to17,162386
2021-04-08,Age-0to17,162480
2021-04-09,Age-0to17,162593
2021-04-10,Age-0to17,162673
2021-04-11,Age-0to17,162734
2021-04-12,Age-0to17,162794
2021-04-13,Age-0to17,162839
2021-04-14,Age-0to17,162947
2021-04-15,Age-0to17,163024
2021-04-16,Age-0to17,163120
2021-04-17,Age-0to17,163444
2021-04-18,Age-0to17,163511
2021-04-19,Age-0to17,163572
2021-04-20,Age-0to17,163642
2021-04-21,Age-0to17,163721
2021-04-22,Age-0to17,163785
2021-04-23,Age-0to17,163856
2021-04-24,Age-0to17,163940
2021-04-25,Age-0to17,163989
2021-04-26,Age-0to17,164046
2021-04-27,Age-0to17,164078
2021-04-28,Age-0to17,164121
2021-04-29,Age-0to17,164166
2021-04-30,Age-0to17,164251
2021-05-01,Age-0to17,164383
2021-05-02,Age-0to17,164431
2021-05-03,Age-0to17,164460
2021-05-04,Age-0to17,164463
2021-05-05,Age-0to17,164522
2021-05-06,Age-0to17,164576
2021-05-07,Age-0to17,164621
2021-05-08,Age-0to17,164658
2021-05-09,Age-0to17,164695
2021-05-10,Age-0to17,164716
2021-05-11,Age-0to17,164761
2021-05-12,Age-0to17,164797
2021-05-13,Age-0to17,164874
2021-05-14,Age-0to17,164913
2021-05-15,Age-0to17,164947
2021-05-16,Age-0to17,164965
2021-05-17,Age-0to17,164991
2021-05-18,Age-0to17,165037
2021-05-19,Age-0to17,165078
2021-05-20,Age-0to17,165119
2021-05-21,Age-0to17,165207
2021-05-22,Age-0to17,165242
2021-05-23,Age-0to17,165263
2021-05-24,Age-0to17,165281
2021-05-25,Age-0to17,165305
2021-05-26,Age-0to17,165648
2021-05-27,Age-0to17,165692
2021-05-28,Age-0to17,165727
2021-05-29,Age-0to17,165752
2021-05-30,Age-0to17,165775
2021-05-31,Age-0to17,165798
2021-06-01,Age-0to17,165819
2021-06-02,Age-0to17,165845
2021-06-03,Age-0to17,165867
2021-06-04,Age-0to17,165903
2021-06-05,Age-0to17,165948
2021-06-06,Age-0to17,165974
2021-06-07,Age-0to17,166004
2021-06-08,Age-0to17,166039
2021-06-09,Age-0to17,166060
2021-06-10,Age-0to17,166087
2021-06-11,Age-0to17,166153
2021-06-12,Age-0to17,166183
2020-03-17,Age-18to64,127
2020-03-18,Age-18to64,138
2020-03-19,Age-18to64,154
2020-03-20,Age-18to64,215
2020-03-21,Age-18to64,319
2020-03-22,Age-18to64,415
2020-03-23,Age-18to64,518
2020-03-24,Age-18to64,613
2020-03-25,Age-18to64,924
2020-03-26,Age-18to64,1112
2020-03-27,Age-18to64,1350
2020-03-28,Age-18to64,1609
2020-03-29,Age-18to64,1861
2020-03-30,Age-18to64,2273
2020-03-31,Age-18to64,2732
2020-04-01,Age-18to64,3120
2020-04-02,Age-18to64,3502
2020-04-03,Age-18to64,4087
2020-04-04,Age-18to64,4582
2020-04-05,Age-18to64,4864
2020-04-06,Age-18to64,5280
2020-04-07,Age-18to64,5721
2020-04-08,Age-18to64,5996
2020-04-09,Age-18to64,6320
2020-04-10,Age-18to64,6612
2020-04-11,Age-18to64,6804
2020-04-12,Age-18to64,6942
2020-04-13,Age-18to64,7388
2020-04-14,Age-18to64,7671
2020-04-15,Age-18to64,7919
2020-04-16,Age-18to64,8255
2020-04-17,Age-18to64,8782
2020-04-18,Age-18to64,8959
2020-04-19,Age-18to64,10156
2020-04-20,Age-18to64,11254
2020-04-21,Age-18to64,12321
2020-04-22,Age-18to64,13082
2020-04-23,Age-18to64,13805
2020-04-24,Age-18to64,14212
2020-04-25,Age-18to64,14505
2020-04-26,Age-18to64,15196
2020-04-27,Age-18to64,15591
2020-04-28,Age-18to64,16752
2020-04-29,Age-18to64,17226
2020-04-30,Age-18to64,18036
2020-05-01,Age-18to64,18486
2020-05-02,Age-18to64,19052
2020-05-03,Age-18to64,19364
2020-05-04,Age-18to64,20608
2020-05-05,Age-18to64,21191
2020-05-06,Age-18to64,21760
2020-05-07,Age-18to64,22306
2020-05-08,Age-18to64,23074
2020-05-09,Age-18to64,23399
2020-05-10,Age-18to64,23869
2020-05-11,Age-18to64,24626
2020-05-12,Age-18to64,25518
2020-05-13,Age-18to64,26267
2020-05-14,Age-18to64,26898
2020-05-15,Age-18to64,27813
2020-05-16,Age-18to64,28312
2020-05-17,Age-18to64,28668
2020-05-18,Age-18to64,29555
2020-05-19,Age-18to64,30581
2020-05-20,Age-18to64,31474
2020-05-21,Age-18to64,32176
2020-05-22,Age-18to64,32946
2020-05-23,Age-18to64,33619
2020-05-24,Age-18to64,34528
2020-05-25,Age-18to64,35972
2020-05-26,Age-18to64,36676
2020-05-27,Age-18to64,37494
2020-05-28,Age-18to64,38988
2020-05-29,Age-18to64,40544
2020-05-30,Age-18to64,41713
2020-05-31,Age-18to64,42486
2020-06-01,Age-18to64,43375
2020-06-02,Age-18to64,44309
2020-06-03,Age-18to64,45398
2020-06-04,Age-18to64,46509
2020-06-05,Age-18to64,47524
2020-06-06,Age-18to64,48762
2020-06-07,Age-18to64,49420
2020-06-08,Age-18to64,50325
2020-06-09,Age-18to64,51290
2020-06-10,Age-18to64,52730
2020-06-11,Age-18to64,54040
2020-06-12,Age-18to64,55190
2020-06-13,Age-18to64,56025
2020-06-14,Age-18to64,56670
2020-06-15,Age-18to64,57678
2020-06-16,Age-18to64,59240
2020-06-17,Age-18to64,60127
2020-06-18,Age-18to64,61228
2020-06-19,Age-18to64,62810
2020-06-20,Age-18to64,64274
2020-06-21,Age-18to64,66324
2020-06-22,Age-18to64,68151
2020-06-23,Age-18to64,68901
2020-06-24,Age-18to64,70811
2020-06-25,Age-18to64,72230
2020-06-26,Age-18to64,73908
2020-06-27,Age-18to64,76036
2020-06-28,Age-18to64,78446
2020-06-29,Age-18to64,80772
2020-06-30,Age-18to64,82110
2020-07-01,Age-18to64,84020
2020-07-02,Age-18to64,84020
2020-07-03,Age-18to64,84020
2020-07-04,Age-18to64,90286
2020-07-05,Age-18to64,91595
2020-07-06,Age-18to64,94857
2020-07-07,Age-18to64,96873
2020-07-08,Age-18to64,98344
2020-07-09,Age-18to64,100310
2020-07-10,Age-18to64,102652
2020-07-11,Age-18to64,105701
2020-07-12,Age-18to64,107827
2020-07-13,Age-18to64,111036
2020-07-14,Age-18to64,113389
2020-07-15,Age-18to64,116962
2020-07-16,Age-18to64,119389
2020-07-17,Age-18to64,121500
2020-07-18,Age-18to64,123970
2020-07-19,Age-18to64,126552
2020-07-20,Age-18to64,128810
2020-07-21,Age-18to64,131021
2020-07-22,Age-18to64,132450
2020-07-23,Age-18to64,132450
2020-07-24,Age-18to64,132450
2020-07-25,Age-18to64,132450
2020-07-26,Age-18to64,132450
2020-07-27,Age-18to64,139567
2020-07-28,Age-18to64,143188
2020-07-29,Age-18to64,145246
2020-07-30,Age-18to64,147255
2020-07-31,Age-18to64,148932
2020-08-01,Age-18to64,150035
2020-08-02,Age-18to64,151235
2020-08-03,Age-18to64,152627
2020-08-04,Age-18to64,154278
2020-08-05,Age-18to64,156794
2020-08-06,Age-18to64,159073
2020-08-07,Age-18to64,161073
2020-08-08,Age-18to64,162400
2020-08-09,Age-18to64,163799
2020-08-10,Age-18to64,164766
2020-08-11,Age-18to64,166310
2020-08-12,Age-18to64,168149
2020-08-13,Age-18to64,169916
2020-08-14,Age-18to64,171379
2020-08-15,Age-18to64,172461
2020-08-16,Age-18to64,173346
2020-08-17,Age-18to64,173953
2020-08-18,Age-18to64,175279
2020-08-19,Age-18to64,176646
2020-08-20,Age-18to64,177908
2020-08-21,Age-18to64,179114
2020-08-22,Age-18to64,179957
2020-08-23,Age-18to64,180864
2020-08-24,Age-18to64,181523
2020-08-25,Age-18to64,181639
2020-08-26,Age-18to64,184049
2020-08-27,Age-18to64,185168
2020-08-28,Age-18to64,186082
2020-08-29,Age-18to64,186911
2020-08-30,Age-18to64,187587
2020-08-31,Age-18to64,188191
2020-09-01,Age-18to64,189214
2020-09-02,Age-18to64,190099
2020-09-03,Age-18to64,191209
2020-09-04,Age-18to64,192061
2020-09-05,Age-18to64,192691
2020-09-06,Age-18to64,193069
2020-09-07,Age-18to64,193388
2020-09-08,Age-18to64,193845
2020-09-09,Age-18to64,194754
2020-09-10,Age-18to64,195531
2020-09-11,Age-18to64,196354
2020-09-12,Age-18to64,196935
2020-09-13,Age-18to64,197461
2020-09-14,Age-18to64,197868
2020-09-15,Age-18to64,198695
2020-09-16,Age-18to64,199532
2020-09-17,Age-18to64,200450
2020-09-18,Age-18to64,201414
2020-09-19,Age-18to64,202303
2020-09-20,Age-18to64,202780
2020-09-21,Age-18to64,203310
2020-09-22,Age-18to64,204180
2020-09-23,Age-18to64,205089
2020-09-24,Age-18to64,206079
2020-09-25,Age-18to64,206994
2020-09-26,Age-18to64,207658
2020-09-27,Age-18to64,208178
2020-09-28,Age-18to64,208777
2020-09-29,Age-18to64,209611
2020-09-30,Age-18to64,210410
2020-10-01,Age-18to64,211364
2020-10-02,Age-18to64,212086
2020-10-03,Age-18to64,212882
2020-10-04,Age-18to64,213166
2020-10-05,Age-18to64,213851
2020-10-06,Age-18to64,215023
2020-10-07,Age-18to64,215959
2020-10-08,Age-18to64,216858
2020-10-09,Age-18to64,217752
2020-10-10,Age-18to64,218661
2020-10-11,Age-18to64,219291
2020-10-12,Age-18to64,219853
2020-10-13,Age-18to64,220794
2020-10-14,Age-18to64,221657
2020-10-15,Age-18to64,222414
2020-10-16,Age-18to64,223103
2020-10-17,Age-18to64,223456
2020-10-18,Age-18to64,224184
2020-10-19,Age-18to64,224640
2020-10-20,Age-18to64,224930
2020-10-21,Age-18to64,227740
2020-10-22,Age-18to64,229766
2020-10-23,Age-18to64,231301
2020-10-24,Age-18to64,232065
2020-10-25,Age-18to64,231303
2020-10-26,Age-18to64,232065
2020-10-27,Age-18to64,234758
2020-10-28,Age-18to64,236059
2020-10-29,Age-18to64,236993
2020-10-30,Age-18to64,237948
2020-10-31,Age-18to64,239084
2020-11-01,Age-18to64,240151
2020-11-02,Age-18to64,241068
2020-11-03,Age-18to64,242399
2020-11-04,Age-18to64,244198
2020-11-05,Age-18to64,245760
2020-11-06,Age-18to64,247604
2020-11-07,Age-18to64,249228
2020-11-08,Age-18to64,250316
2020-11-09,Age-18to64,251960
2020-11-10,Age-18to64,253497
2020-11-11,Age-18to64,255684
2020-11-12,Age-18to64,257516
2020-11-13,Age-18to64,260284
2020-11-14,Age-18to64,262689
2020-11-15,Age-18to64,264808
2020-11-16,Age-18to64,266416
2020-11-17,Age-18to64,269195
2020-11-18,Age-18to64,272915
2020-11-19,Age-18to64,276526
2020-11-20,Age-18to64,279782
2020-11-21,Age-18to64,281850
2020-11-22,Age-18to64,286490
2020-11-23,Age-18to64,289078
2020-11-24,Age-18to64,292092
2020-11-25,Age-18to64,295952
2020-11-26,Age-18to64,299435
2020-11-27,Age-18to64,301838
2020-11-28,Age-18to64,305807
2020-11-29,Age-18to64,309736
2020-11-30,Age-18to64,315138
2020-12-01,Age-18to64,319179
2020-12-02,Age-18to64,325893
2020-12-03,Age-18to64,331256
2020-12-04,Age-18to64,337890
2020-12-05,Age-18to64,347255
2020-12-06,Age-18to64,353264
2020-12-07,Age-18to64,359460
2020-12-08,Age-18to64,365654
2020-12-09,Age-18to64,375158
2020-12-10,Age-18to64,385391
2020-12-11,Age-18to64,393666
2020-12-12,Age-18to64,404767
2020-12-13,Age-18to64,410210
2020-12-14,Age-18to64,418298
2020-12-15,Age-18to64,434519
2020-12-16,Age-18to64,446250
2020-12-17,Age-18to64,457920
2020-12-18,Age-18to64,467755
2020-12-19,Age-18to64,478847
2020-12-20,Age-18to64,487160
2020-12-21,Age-18to64,495742
2020-12-22,Age-18to64,507536
2020-12-23,Age-18to64,518991
2020-12-24,Age-18to64,518991
2020-12-25,Age-18to64,540131
2020-12-26,Age-18to64,550391
2020-12-27,Age-18to64,560409
2020-12-28,Age-18to64,569095
2020-12-29,Age-18to64,576329
2020-12-30,Age-18to64,586672
2020-12-31,Age-18to64,601148
2021-01-01,Age-18to64,612887
2021-01-02,Age-18to64,624411
2021-01-03,Age-18to64,631001
2021-01-04,Age-18to64,639288
2021-01-05,Age-18to64,647399
2021-01-06,Age-18to64,660867
2021-01-07,Age-18to64,676831
2021-01-08,Age-18to64,689112
2021-01-09,Age-18to64,698952
2021-01-10,Age-18to64,708226
2021-01-11,Age-18to64,716681
2021-01-12,Age-18to64,725183
2021-01-13,Age-18to64,740380
2021-01-14,Age-18to64,750603
2021-01-15,Age-18to64,760433
2021-01-16,Age-18to64,769079
2021-01-17,Age-18to64,776012
2021-01-18,Age-18to64,781668
2021-01-19,Age-18to64,785644
2021-01-20,Age-18to64,792067
2021-01-21,Age-18to64,798237
2021-01-22,Age-18to64,805413
2021-01-23,Age-18to64,811033
2021-01-24,Age-18to64,815612
2021-01-25,Age-18to64,819643
2021-01-26,Age-18to64,824143
2021-01-27,Age-18to64,828486
2021-01-28,Age-18to64,832903
2021-01-29,Age-18to64,837693
2021-01-30,Age-18to64,841654
2021-01-31,Age-18to64,844505
2021-02-01,Age-18to64,846995
2021-02-02,Age-18to64,850404
2021-02-03,Age-18to64,856624
2021-02-04,Age-18to64,859671
2021-02-05,Age-18to64,862895
2021-02-06,Age-18to64,864946
2021-02-07,Age-18to64,866869
2021-02-08,Age-18to64,869033
2021-02-09,Age-18to64,871107
2021-02-10,Age-18to64,874197
2021-02-11,Age-18to64,876464
2021-02-12,Age-18to64,878537
2021-02-13,Age-18to64,879879
2021-02-14,Age-18to64,881193
2021-02-15,Age-18to64,882074
2021-02-16,Age-18to64,883611
2021-02-17,Age-18to64,885445
2021-02-18,Age-18to64,887144
2021-02-19,Age-18to64,888854
2021-02-20,Age-18to64,889844
2021-02-21,Age-18to64,890521
2021-02-22,Age-18to64,892371
2021-02-23,Age-18to64,893926
2021-02-24,Age-18to64,895402
2021-02-25,Age-18to64,896726
2021-02-26,Age-18to64,897878
2021-02-27,Age-18to64,899006
2021-02-28,Age-18to64,899728
2021-03-01,Age-18to64,900730
2021-03-02,Age-18to64,901934
2021-03-03,Age-18to64,903492
2021-03-04,Age-18to64,905180
2021-03-05,Age-18to64,906511
2021-03-06,Age-18to64,907529
2021-03-07,Age-18to64,908197
2021-03-08,Age-18to64,909126
2021-03-09,Age-18to64,910236
2021-03-10,Age-18to64,910236
2021-03-11,Age-18to64,911922
2021-03-12,Age-18to64,912471
2021-03-13,Age-18to64,913015
2021-03-14,Age-18to64,913337
2021-03-15,Age-18to64,913522
2021-03-16,Age-18to64,914132
