Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count,Cumulative Death Count,Newly Reported Death Count
2020-04-30,Age-0to17,612,58,0,0
2020-05-01,Age-0to17,639,27,0,0
2020-05-02,Age-0to17,673,34,0,0
2020-05-03,Age-0to17,687,14,0,0
2020-05-04,Age-0to17,793,106,0,0
2020-05-05,Age-0to17,844,51,0,0
2020-05-06,Age-0to17,879,35,0,0
2020-05-07,Age-0to17,901,22,0,0
2020-05-08,Age-0to17,949,48,0,0
2020-05-09,Age-0to17,959,10,0,0
2020-05-10,Age-0to17,989,30,0,0
2020-05-11,Age-0to17,1054,65,0,0
2020-05-12,Age-0to17,1117,63,0,0
2020-05-13,Age-0to17,1202,85,0,0
2020-05-14,Age-0to17,1246,44,0,0
2020-05-15,Age-0to17,1312,66,0,0
2020-05-16,Age-0to17,1356,44,0,0
2020-05-17,Age-0to17,1390,34,0,0
2020-05-18,Age-0to17,1493,103,0,0
2020-05-19,Age-0to17,1597,104,0,0
2020-05-20,Age-0to17,1682,85,0,0
2020-05-21,Age-0to17,1749,67,0,0
2020-05-22,Age-0to17,1821,72,0,0
2020-05-23,Age-0to17,1874,53,0,0
2020-05-24,Age-0to17,1981,107,0,0
2020-05-25,Age-0to17,2162,181,0,0
2020-05-26,Age-0to17,2249,87,0,0
2020-05-27,Age-0to17,2321,72,0,0
2020-05-28,Age-0to17,2488,167,0,0
2020-05-29,Age-0to17,2693,205,0,0
2020-05-30,Age-0to17,2832,139,0,0
2020-05-31,Age-0to17,2902,70,0,0
2020-06-01,Age-0to17,2996,94,0,0
2020-06-02,Age-0to17,3084,88,0,0
2020-06-03,Age-0to17,3200,116,0,0
2020-06-04,Age-0to17,3282,82,0,0
2020-06-05,Age-0to17,3373,91,0,0
2020-06-06,Age-0to17,3552,179,0,0
2020-06-07,Age-0to17,3636,84,0,0
2020-06-08,Age-0to17,3740,104,0,0
2020-06-09,Age-0to17,3890,150,0,0
2020-06-10,Age-0to17,4117,227,0,0
2020-06-11,Age-0to17,4289,172,0,0
2020-06-12,Age-0to17,4456,167,0,0
2020-06-13,Age-0to17,4556,100,0,0
2020-06-14,Age-0to17,4644,88,0,0
2020-06-15,Age-0to17,4768,124,0,0
2020-06-16,Age-0to17,5052,284,0,0
2020-06-17,Age-0to17,5157,105,0,0
2020-06-18,Age-0to17,5301,144,0,0
2020-06-19,Age-0to17,5504,203,0,0
2020-06-20,Age-0to17,5686,182,0,0
2020-06-21,Age-0to17,5987,301,0,0
2020-06-22,Age-0to17,6156,169,0,0
2020-06-23,Age-0to17,6221,65,0,0
2020-06-24,Age-0to17,6463,242,0,0
2020-06-25,Age-0to17,6658,195,0,0
2020-06-26,Age-0to17,6877,219,0,0
2020-06-27,Age-0to17,7076,199,0,0
2020-06-28,Age-0to17,7334,258,0,0
2020-06-29,Age-0to17,7604,270,0,0
2020-06-30,Age-0to17,7696,92,0,0
2020-07-01,Age-0to17,7919,223,0,0
2020-07-02,Age-0to17,7919,0,0,0
2020-07-03,Age-0to17,7919,0,0,0
2020-07-04,Age-0to17,8542,623,0,0
2020-07-05,Age-0to17,8686,144,0,0
2020-07-06,Age-0to17,9118,432,0,0
2020-07-07,Age-0to17,9283,165,0,0
2020-07-08,Age-0to17,9391,108,0,0
2020-07-09,Age-0to17,9568,177,0,0
2020-07-10,Age-0to17,9796,228,0,0
2020-07-11,Age-0to17,10137,341,0,0
2020-07-12,Age-0to17,10356,219,0,0
2020-07-13,Age-0to17,10757,401,0,0
2020-07-14,Age-0to17,11032,275,0,0
2020-07-15,Age-0to17,11541,509,0,0
2020-07-16,Age-0to17,11843,302,0,0
2020-07-17,Age-0to17,12110,267,0,0
2020-07-18,Age-0to17,12464,354,0,0
2020-07-19,Age-0to17,12835,371,0,0
2020-07-20,Age-0to17,12963,128,0,0
2020-07-21,Age-0to17,13302,339,0,0
2020-07-22,Age-0to17,13484,182,0,0
2020-07-23,Age-0to17,13484,0,0,0
2020-07-24,Age-0to17,13484,0,0,0
2020-07-25,Age-0to17,13484,0,0,0
2020-07-26,Age-0to17,13484,0,0,0
2020-07-27,Age-0to17,15111,1627,0,0
2020-07-28,Age-0to17,15749,638,0,0
2020-07-29,Age-0to17,16067,318,0,0
2020-07-30,Age-0to17,16395,328,0,0
2020-07-31,Age-0to17,16727,332,0,0
2020-08-01,Age-0to17,16900,173,0,0
2020-08-02,Age-0to17,17175,275,0,0
2020-08-03,Age-0to17,17404,229,0,0
2020-08-04,Age-0to17,17684,280,0,0
2020-08-05,Age-0to17,18102,418,0,0
2020-08-06,Age-0to17,18518,416,0,0
2020-08-07,Age-0to17,18870,352,0,0
2020-08-08,Age-0to17,19129,259,0,0
2020-08-09,Age-0to17,19415,286,0,0
2020-08-10,Age-0to17,19571,156,0,0
2020-08-11,Age-0to17,19856,285,0,0
2020-08-12,Age-0to17,20190,334,0,0
2020-08-13,Age-0to17,20502,312,0,0
2020-08-14,Age-0to17,20768,266,0,0
2020-08-15,Age-0to17,20976,208,0,0
2020-08-16,Age-0to17,21152,176,0,0
2020-08-17,Age-0to17,21257,105,0,0
2020-08-18,Age-0to17,21418,161,0,0
2020-08-19,Age-0to17,21631,213,0,0
2020-08-20,Age-0to17,21842,211,0,0
2020-08-21,Age-0to17,21996,154,0,0
2020-08-22,Age-0to17,22164,168,0,0
2020-08-23,Age-0to17,22344,180,0,0
2020-08-24,Age-0to17,22411,67,0,0
2020-08-25,Age-0to17,22602,191,0,0
2020-08-26,Age-0to17,22761,159,0,0
2020-08-27,Age-0to17,22948,187,0,0
2020-08-28,Age-0to17,23076,128,0,0
2020-08-29,Age-0to17,23230,154,0,0
2020-08-30,Age-0to17,23380,150,0,0
2020-08-31,Age-0to17,23464,84,0,0
2020-09-01,Age-0to17,23618,154,0,0
2020-09-02,Age-0to17,23729,111,0,0
2020-09-03,Age-0to17,23897,168,0,0
2020-09-04,Age-0to17,24018,121,0,0
2020-09-05,Age-0to17,24125,107,0,0
2020-09-06,Age-0to17,24173,48,0,0
2020-09-07,Age-0to17,24218,45,0,0
2020-09-08,Age-0to17,24276,58,0,0
2020-09-09,Age-0to17,24418,142,0,0
2020-09-10,Age-0to17,24523,105,0,0
2020-09-11,Age-0to17,24645,122,0,0
2020-09-12,Age-0to17,24745,100,0,0
2020-09-13,Age-0to17,24850,105,0,0
2020-09-14,Age-0to17,24901,51,0,0
2020-09-15,Age-0to17,24987,86,0,0
2020-09-16,Age-0to17,25127,140,0,0
2020-09-17,Age-0to17,25239,112,0,0
2020-09-18,Age-0to17,25396,157,0,0
2020-09-19,Age-0to17,25585,189,0,0
2020-09-20,Age-0to17,25679,94,0,0
2020-09-21,Age-0to17,25729,50,0,0
2020-09-22,Age-0to17,25861,132,0,0
2020-09-23,Age-0to17,26010,149,0,0
2020-09-24,Age-0to17,26155,145,0,0
2020-09-25,Age-0to17,26303,148,0,0
2020-09-26,Age-0to17,26437,134,0,0
2020-09-27,Age-0to17,26513,76,0,0
2020-09-28,Age-0to17,26600,87,0,0
2020-09-29,Age-0to17,26731,131,0,0
2020-09-30,Age-0to17,26841,110,0,0
2020-10-01,Age-0to17,26972,131,0,0
2020-10-02,Age-0to17,27089,117,0,0
2020-10-03,Age-0to17,27229,140,0,0
2020-10-04,Age-0to17,27292,63,0,0
2020-10-05,Age-0to17,27408,116,0,0
2020-10-06,Age-0to17,27616,208,0,0
2020-10-07,Age-0to17,27735,119,0,0
2020-10-08,Age-0to17,27887,152,0,0
2020-10-09,Age-0to17,28066,179,0,0
2020-10-10,Age-0to17,28234,168,0,0
2020-10-11,Age-0to17,28367,133,0,0
2020-10-12,Age-0to17,28456,89,0,0
2020-10-13,Age-0to17,28625,169,0,0
2020-10-14,Age-0to17,28752,127,0,0
2020-10-15,Age-0to17,28911,159,0,0
2020-10-16,Age-0to17,29039,128,0,0
2020-10-17,Age-0to17,29120,81,0,0
2020-10-18,Age-0to17,29218,98,0,0
2020-10-19,Age-0to17,29270,52,0,0
2020-10-20,Age-0to17,29303,33,0,0
2020-10-21,Age-0to17,29810,507,0,0
2020-10-22,Age-0to17,30197,387,0,0
2020-10-23,Age-0to17,30474,277,0,0
2020-10-24,Age-0to17,30613,139,0,0
2020-10-25,Age-0to17,30613,0,0,0
2020-10-26,Age-0to17,30613,0,0,0
2020-10-27,Age-0to17,31122,509,0,0
2020-10-28,Age-0to17,31367,245,0,0
2020-10-29,Age-0to17,31524,157,0,0
2020-10-30,Age-0to17,31670,146,0,0
2020-10-31,Age-0to17,31862,192,0,0
2020-11-01,Age-0to17,32053,191,0,0
2020-11-02,Age-0to17,32191,138,0,0
2020-11-03,Age-0to17,32397,206,0,0
2020-11-04,Age-0to17,32697,300,0,0
2020-11-05,Age-0to17,32976,279,0,0
2020-11-06,Age-0to17,33231,255,0,0
2020-11-07,Age-0to17,33547,316,0,0
2020-11-08,Age-0to17,33748,201,0,0
2020-11-09,Age-0to17,34002,254,0,0
2020-11-10,Age-0to17,34253,251,0,0
2020-11-11,Age-0to17,34670,417,0,0
2020-11-12,Age-0to17,34949,279,0,0
2020-11-13,Age-0to17,35430,481,0,0
2020-11-14,Age-0to17,35840,410,0,0
2020-11-15,Age-0to17,36251,411,0,0
2020-11-16,Age-0to17,36478,227,0,0
2020-11-17,Age-0to17,36955,477,0,0
2020-11-18,Age-0to17,37570,615,0,0
2020-11-19,Age-0to17,38150,580,0,0
2020-11-20,Age-0to17,38690,540,0,0
2020-11-21,Age-0to17,39117,427,0,0
2020-11-22,Age-0to17,39942,825,0,0
2020-11-23,Age-0to17,40355,413,0,0
2020-11-24,Age-0to17,40807,452,0,0
2020-11-25,Age-0to17,41434,627,0,0
2020-11-26,Age-0to17,41958,524,0,0
2020-11-27,Age-0to17,42269,311,0,0
2020-11-28,Age-0to17,42958,689,0,0
2020-11-29,Age-0to17,43591,633,0,0
2020-11-30,Age-0to17,44493,902,0,0
2020-12-01,Age-0to17,45094,601,0,0
2020-12-02,Age-0to17,46293,1199,0,0
2020-12-03,Age-0to17,47233,940,0,0
2020-12-04,Age-0to17,48358,1125,0,0
2020-12-05,Age-0to17,50168,1810,0,0
2020-12-06,Age-0to17,51296,1128,0,0
2020-12-07,Age-0to17,52415,1119,0,0
2020-12-08,Age-0to17,53499,1084,0,0
2020-12-09,Age-0to17,55311,1812,0,0
2020-12-10,Age-0to17,57048,1737,0,0
2020-12-11,Age-0to17,58523,1475,0,0
2020-12-12,Age-0to17,60516,1993,0,0
2020-12-13,Age-0to17,61383,867,0,0
2020-12-14,Age-0to17,62818,1435,0,0
2020-12-15,Age-0to17,65925,3107,0,0
2020-12-16,Age-0to17,68132,2207,0,0
2020-12-17,Age-0to17,70211,2079,0,0
2020-12-18,Age-0to17,71957,1746,0,0
2020-12-19,Age-0to17,74088,2131,0,0
2020-12-20,Age-0to17,75624,1536,0,0
2020-12-21,Age-0to17,77032,1408,0,0
2020-12-22,Age-0to17,79091,2059,0,0
2020-12-23,Age-0to17,81281,2190,0,0
2020-12-24,Age-0to17,81281,0,0,0
2020-12-25,Age-0to17,85432,4151,0,0
2020-12-26,Age-0to17,87611,2179,0,0
2020-12-27,Age-0to17,89319,1708,0,0
2020-12-28,Age-0to17,90684,1365,0,0
2020-12-29,Age-0to17,91835,1151,0,0
2020-12-30,Age-0to17,93673,1838,0,0
2020-12-31,Age-0to17,96293,2620,0,0
2021-01-01,Age-0to17,98477,2184,0,0
2021-01-02,Age-0to17,100848,2371,0,0
2021-01-03,Age-0to17,102060,1212,0,0
2021-01-04,Age-0to17,103650,1590,0,0
2021-01-05,Age-0to17,105025,1375,0,0
2021-01-06,Age-0to17,107578,2553,0,0
2021-01-07,Age-0to17,110824,3246,0,0
2021-01-08,Age-0to17,113012,2188,0,0
2021-01-09,Age-0to17,114808,1796,0,0
2021-01-10,Age-0to17,116556,1748,0,0
2021-01-11,Age-0to17,118246,1690,0,0
2021-01-12,Age-0to17,119974,1728,0,0
2021-01-13,Age-0to17,123151,3177,0,0
2021-01-14,Age-0to17,125167,2016,0,0
2021-01-15,Age-0to17,127098,1931,0,0
2021-01-16,Age-0to17,128942,1844,0,0
2021-01-17,Age-0to17,130400,1458,0,0
2021-01-18,Age-0to17,131500,1100,0,0
2021-01-19,Age-0to17,132071,571,0,0
2021-01-20,Age-0to17,133328,1257,0,0
2021-01-21,Age-0to17,134344,1016,0,0
2021-01-22,Age-0to17,135734,1390,0,0
2021-01-23,Age-0to17,136827,1093,0,0
2021-01-24,Age-0to17,137731,904,0,0
2021-01-25,Age-0to17,138405,674,0,0
2021-01-26,Age-0to17,139249,844,0,0
2021-01-27,Age-0to17,140010,761,0,0
2021-01-28,Age-0to17,140748,738,0,0
2021-01-29,Age-0to17,141625,877,0,0
2021-01-30,Age-0to17,142473,848,0,0
2021-01-31,Age-0to17,143074,601,0,0
2021-02-01,Age-0to17,143514,440,0,0
2021-02-02,Age-0to17,144081,567,0,0
2021-02-03,Age-0to17,145410,1329,0,0
2021-02-04,Age-0to17,145913,503,0,0
2021-02-05,Age-0to17,146539,626,0,0
2021-02-06,Age-0to17,146935,396,0,0
2021-02-07,Age-0to17,147285,350,0,0
2021-02-08,Age-0to17,147619,334,0,0
2021-02-09,Age-0to17,148019,400,0,0
2021-02-10,Age-0to17,148623,604,0,0
2021-02-11,Age-0to17,148997,374,0,0
2021-02-12,Age-0to17,149401,404,0,0
2021-02-13,Age-0to17,149677,276,0,0
2021-02-14,Age-0to17,149949,272,0,0
2021-02-15,Age-0to17,150089,140,0,0
2021-02-16,Age-0to17,150270,181,0,0
2021-02-17,Age-0to17,150572,302,0,0
2021-02-18,Age-0to17,150843,271,0,0
2021-02-19,Age-0to17,151054,211,0,0
2021-02-20,Age-0to17,151230,176,0,0
2021-02-21,Age-0to17,151344,114,0,0
2021-02-22,Age-0to17,151631,287,0,0
2021-02-23,Age-0to17,151838,207,0,0
2021-02-24,Age-0to17,152041,203,0,0
2021-02-25,Age-0to17,152238,197,0,0
2021-02-26,Age-0to17,152434,196,0,0
2021-02-27,Age-0to17,152633,199,0,0
2021-02-28,Age-0to17,152764,131,0,0
2021-03-01,Age-0to17,152894,130,0,0
2021-03-02,Age-0to17,153054,160,0,0
2021-03-03,Age-0to17,153285,231,0,0
2021-03-04,Age-0to17,153546,261,0,0
2021-03-05,Age-0to17,153717,171,0,0
2021-03-06,Age-0to17,153851,134,0,0
2021-03-07,Age-0to17,153949,98,0,0
2021-03-08,Age-0to17,154071,122,0,0
2021-03-09,Age-0to17,154224,153,0,0
2021-03-10,Age-0to17,154224,0,0,0
2021-03-11,Age-0to17,154467,243,0,0
2021-03-12,Age-0to17,154547,80,0,0
2021-03-13,Age-0to17,154654,107,0,0
2021-03-14,Age-0to17,154710,56,0,0
2021-03-15,Age-0to17,154740,30,0,0
2021-03-16,Age-0to17,154843,103,0,0
2021-03-17,Age-0to17,154952,109,0,0
2021-03-18,Age-0to17,155030,78,0,0
2021-03-19,Age-0to17,155092,62,0,0
2021-03-20,Age-0to17,155163,71,0,0
2021-03-21,Age-0to17,155237,74,0,0
2021-03-22,Age-0to17,155275,38,0,0
2021-03-23,Age-0to17,155339,64,0,0
2021-03-24,Age-0to17,155391,52,0,0
2021-03-25,Age-0to17,161572,6181,0,0
2021-03-26,Age-0to17,161658,86,0,0
2021-03-27,Age-0to17,161719,61,0,0
2021-03-28,Age-0to17,161770,51,0,0
2021-03-29,Age-0to17,161804,34,0,0
2021-03-30,Age-0to17,161804,0,0,0
2021-03-31,Age-0to17,161804,0,0,0
2021-04-01,Age-0to17,162026,222,0,0
2021-04-02,Age-0to17,162121,95,0,0
2021-04-03,Age-0to17,162182,61,0,0
2021-04-04,Age-0to17,162246,64,0,0
2021-04-05,Age-0to17,162284,38,0,0
2021-04-06,Age-0to17,162318,34,0,0
2021-04-07,Age-0to17,162386,68,0,0
2021-04-08,Age-0to17,162480,94,0,0
2021-04-09,Age-0to17,162593,113,0,0
2021-04-10,Age-0to17,162673,80,0,0
2021-04-11,Age-0to17,162734,61,0,0
2021-04-12,Age-0to17,162794,60,0,0
2021-04-13,Age-0to17,162839,45,0,0
2021-04-14,Age-0to17,162947,108,0,0
2021-04-15,Age-0to17,163024,77,0,0
2021-04-16,Age-0to17,163120,96,0,0
2021-04-17,Age-0to17,163444,324,0,0
2021-04-18,Age-0to17,163511,67,0,0
2021-04-19,Age-0to17,163572,61,0,0
2021-04-20,Age-0to17,163642,70,0,0
2021-04-21,Age-0to17,163721,79,0,0
2021-04-22,Age-0to17,163785,64,0,0
2021-04-23,Age-0to17,163856,71,0,0
2021-04-24,Age-0to17,163940,84,0,0
2021-04-25,Age-0to17,163989,49,0,0
2021-04-26,Age-0to17,164046,57,0,0
2021-04-27,Age-0to17,164078,32,0,0
2021-04-28,Age-0to17,164121,43,0,0
2021-04-29,Age-0to17,164166,45,0,0
2021-04-30,Age-0to17,164251,85,0,0
2021-05-01,Age-0to17,164383,132,0,0
2021-05-02,Age-0to17,164431,48,0,0
2021-05-03,Age-0to17,164460,29,0,0
2021-05-04,Age-0to17,164463,3,0,0
2021-05-05,Age-0to17,164522,59,0,0
2021-05-06,Age-0to17,164576,54,0,0
2021-05-07,Age-0to17,164621,45,0,0
2021-05-08,Age-0to17,164658,37,0,0
2021-05-09,Age-0to17,164695,37,0,0
2021-05-10,Age-0to17,164716,21,0,0
2021-05-11,Age-0to17,164761,45,0,0
2021-05-12,Age-0to17,164797,36,0,0
2021-05-13,Age-0to17,164874,77,0,0
2021-05-14,Age-0to17,164913,39,0,0
2021-05-15,Age-0to17,164947,34,0,0
2021-05-16,Age-0to17,164965,18,0,0
2021-05-17,Age-0to17,164991,26,0,0
2021-05-18,Age-0to17,165037,46,0,0
2021-05-19,Age-0to17,165078,41,0,0
2021-05-20,Age-0to17,165119,41,0,0
2021-05-21,Age-0to17,165207,88,0,0
2021-05-22,Age-0to17,165242,35,0,0
2021-05-23,Age-0to17,165263,21,0,0
2021-05-24,Age-0to17,165281,18,0,0
2021-05-25,Age-0to17,165305,24,0,0
2021-05-26,Age-0to17,165648,343,0,0
2021-05-27,Age-0to17,165692,44,0,0
2021-05-28,Age-0to17,165727,35,0,0
2021-05-29,Age-0to17,165752,25,0,0
2021-05-30,Age-0to17,165775,23,0,0
2021-05-31,Age-0to17,165798,23,0,0
2021-06-01,Age-0to17,165819,21,0,0
2021-06-02,Age-0to17,165845,26,0,0
2021-06-03,Age-0to17,165867,22,0,0
2021-06-04,Age-0to17,165903,36,0,0
2021-06-05,Age-0to17,165948,45,0,0
2021-06-06,Age-0to17,165974,26,0,0
2021-06-07,Age-0to17,166004,30,0,0
2021-06-08,Age-0to17,166039,35,0,0
2021-06-09,Age-0to17,166060,21,0,0
2021-06-10,Age-0to17,166087,27,0,0
2021-06-11,Age-0to17,166153,66,0,0
2021-06-12,Age-0to17,166183,30,0,0
2020-03-17,Age-18to64,127,127,0,0
2020-03-18,Age-18to64,138,11,0,0
2020-03-19,Age-18to64,154,16,0,0
2020-03-20,Age-18to64,215,61,0,0
2020-03-21,Age-18to64,319,104,0,0
2020-03-22,Age-18to64,415,96,0,0
2020-03-23,Age-18to64,518,103,0,0
2020-03-24,Age-18to64,613,95,0,0
2020-03-25,Age-18to64,924,311,0,0
2020-03-26,Age-18to64,1112,188,0,0
2020-03-27,Age-18to64,1350,238,0,0
2020-03-28,Age-18to64,1609,259,0,0
2020-03-29,Age-18to64,1861,252,0,0
2020-03-30,Age-18to64,2273,412,0,0
2020-03-31,Age-18to64,2732,459,0,0
2020-04-01,Age-18to64,3120,388,0,0
2020-04-02,Age-18to64,3502,382,0,0
2020-04-03,Age-18to64,4087,585,0,0
2020-04-04,Age-18to64,4582,495,0,0
2020-04-05,Age-18to64,4864,282,0,0
2020-04-06,Age-18to64,5280,416,0,0
2020-04-07,Age-18to64,5721,441,0,0
2020-04-08,Age-18to64,5996,275,0,0
2020-04-09,Age-18to64,6320,324,0,0
2020-04-10,Age-18to64,6612,292,0,0
2020-04-11,Age-18to64,6804,192,0,0
2020-04-12,Age-18to64,6942,138,0,0
2020-04-13,Age-18to64,7388,446,0,0
2020-04-14,Age-18to64,7671,283,0,0
2020-04-15,Age-18to64,7919,248,0,0
2020-04-16,Age-18to64,8255,336,0,0
2020-04-17,Age-18to64,8782,527,0,0
2020-04-18,Age-18to64,8959,177,0,0
2020-04-19,Age-18to64,10156,1197,0,0
2020-04-20,Age-18to64,11254,1098,0,0
2020-04-21,Age-18to64,12321,1067,0,0
2020-04-22,Age-18to64,13082,761,0,0
2020-04-23,Age-18to64,13805,723,0,0
2020-04-24,Age-18to64,14212,407,0,0
2020-04-25,Age-18to64,14505,293,0,0
2020-04-26,Age-18to64,15196,691,0,0
2020-04-27,Age-18to64,15591,395,0,0
2020-04-28,Age-18to64,16752,1161,0,0
2020-04-29,Age-18to64,17226,474,0,0
2020-04-30,Age-18to64,18036,810,0,0
2020-05-01,Age-18to64,18486,450,0,0
2020-05-02,Age-18to64,19052,566,0,0
2020-05-03,Age-18to64,19364,312,0,0
2020-05-04,Age-18to64,20608,1244,0,0
2020-05-05,Age-18to64,21191,583,0,0
2020-05-06,Age-18to64,21760,569,0,0
2020-05-07,Age-18to64,22306,546,0,0
2020-05-08,Age-18to64,23074,768,0,0
2020-05-09,Age-18to64,23399,325,0,0
2020-05-10,Age-18to64,23869,470,0,0
2020-05-11,Age-18to64,24626,757,0,0
2020-05-12,Age-18to64,25518,892,0,0
2020-05-13,Age-18to64,26267,749,0,0
2020-05-14,Age-18to64,26898,631,0,0
2020-05-15,Age-18to64,27813,915,0,0
2020-05-16,Age-18to64,28312,499,0,0
2020-05-17,Age-18to64,28668,356,0,0
2020-05-18,Age-18to64,29555,887,0,0
2020-05-19,Age-18to64,30581,1026,0,0
2020-05-20,Age-18to64,31474,893,0,0
2020-05-21,Age-18to64,32176,702,0,0
2020-05-22,Age-18to64,32946,770,0,0
2020-05-23,Age-18to64,33619,673,0,0
2020-05-24,Age-18to64,34528,909,0,0
2020-05-25,Age-18to64,35972,1444,0,0
2020-05-26,Age-18to64,36676,704,0,0
2020-05-27,Age-18to64,37494,818,0,0
2020-05-28,Age-18to64,38988,1494,0,0
2020-05-29,Age-18to64,40544,1556,0,0
2020-05-30,Age-18to64,41713,1169,0,0
2020-05-31,Age-18to64,42486,773,0,0
2020-06-01,Age-18to64,43375,889,0,0
2020-06-02,Age-18to64,44309,934,0,0
2020-06-03,Age-18to64,45398,1089,0,0
2020-06-04,Age-18to64,46509,1111,0,0
2020-06-05,Age-18to64,47524,1015,0,0
2020-06-06,Age-18to64,48762,1238,0,0
2020-06-07,Age-18to64,49420,658,0,0
2020-06-08,Age-18to64,50325,905,0,0
2020-06-09,Age-18to64,51290,965,0,0
2020-06-10,Age-18to64,52730,1440,0,0
2020-06-11,Age-18to64,54040,1310,0,0
2020-06-12,Age-18to64,55190,1150,0,0
2020-06-13,Age-18to64,56025,835,0,0
2020-06-14,Age-18to64,56670,645,0,0
2020-06-15,Age-18to64,57678,1008,0,0
2020-06-16,Age-18to64,59240,1562,0,0
2020-06-17,Age-18to64,60127,887,0,0
2020-06-18,Age-18to64,61228,1101,0,0
2020-06-19,Age-18to64,62810,1582,0,0
2020-06-20,Age-18to64,64274,1464,0,0
2020-06-21,Age-18to64,66324,2050,0,0
2020-06-22,Age-18to64,68151,1827,0,0
2020-06-23,Age-18to64,68901,750,0,0
2020-06-24,Age-18to64,70811,1910,0,0
2020-06-25,Age-18to64,72230,1419,0,0
2020-06-26,Age-18to64,73908,1678,0,0
2020-06-27,Age-18to64,76036,2128,0,0
2020-06-28,Age-18to64,78446,2410,0,0
2020-06-29,Age-18to64,80772,2326,0,0
2020-06-30,Age-18to64,82110,1338,0,0
2020-07-01,Age-18to64,84020,1910,0,0
2020-07-02,Age-18to64,84020,0,0,0
2020-07-03,Age-18to64,84020,0,0,0
2020-07-04,Age-18to64,90286,6266,0,0
2020-07-05,Age-18to64,91595,1309,0,0
2020-07-06,Age-18to64,94857,3262,0,0
2020-07-07,Age-18to64,96873,2016,0,0
2020-07-08,Age-18to64,98344,1471,0,0
2020-07-09,Age-18to64,100310,1966,0,0
2020-07-10,Age-18to64,102652,2342,0,0
2020-07-11,Age-18to64,105701,3049,0,0
2020-07-12,Age-18to64,107827,2126,0,0
2020-07-13,Age-18to64,111036,3209,0,0
2020-07-14,Age-18to64,113389,2353,0,0
2020-07-15,Age-18to64,116962,3573,0,0
2020-07-16,Age-18to64,119389,2427,0,0
2020-07-17,Age-18to64,121500,2111,0,0
2020-07-18,Age-18to64,123970,2470,0,0
2020-07-19,Age-18to64,126552,2582,0,0
2020-07-20,Age-18to64,128810,2258,0,0
2020-07-21,Age-18to64,131021,2211,0,0
2020-07-22,Age-18to64,132450,1429,0,0
2020-07-23,Age-18to64,132450,0,0,0
2020-07-24,Age-18to64,132450,0,0,0
2020-07-25,Age-18to64,132450,0,0,0
2020-07-26,Age-18to64,132450,0,0,0
2020-07-27,Age-18to64,139567,7117,0,0
2020-07-28,Age-18to64,143188,3621,0,0
2020-07-29,Age-18to64,145246,2058,0,0
2020-07-30,Age-18to64,147255,2009,0,0
2020-07-31,Age-18to64,148932,1677,0,0
2020-08-01,Age-18to64,150035,1103,0,0
2020-08-02,Age-18to64,151235,1200,0,0
2020-08-03,Age-18to64,152627,1392,0,0
2020-08-04,Age-18to64,154278,1651,0,0
2020-08-05,Age-18to64,156794,2516,0,0
2020-08-06,Age-18to64,159073,2279,0,0
2020-08-07,Age-18to64,161073,2000,0,0
2020-08-08,Age-18to64,162400,1327,0,0
2020-08-09,Age-18to64,163799,1399,0,0
2020-08-10,Age-18to64,164766,967,0,0
2020-08-11,Age-18to64,166310,1544,0,0
